Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,19755301,,,,19755301,,34852418,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,433594911,,,,433594911,,814310783,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,12,Algeria,DZA,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,10303200,,,,10303200,,15390464,,,0
H3,2010,2010,2010,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,90743,,,,90743,,638053,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,5423603,,,,5423603,,12635321,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,51,Armenia,ARM,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,855600,,,,855600,,1415592,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,16661978,,,,16661978,,30495531,,,0
H3,2010,2010,2010,4,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,2094741,,,,2094741,,6987830,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,2,,,,2,,12,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,90,Solomon Isds,SLB,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",8,Weight in kilograms,7200,,,,7200,,26580,,,0
